google_index,page_rank,nb_hyperlinks,web_traffic,nb_www,longest_word_path,domain_age,ratio_intHyperlinks,ratio_extHyperlinks,phish_hints,safe_anchor,ratio_digits_url,ratio_extRedirection,avg_word_path,status
1,4,17,0,1,6,-1,0.529411765,0.470588235,0,0.0,0.0,0.875,4.5,0
1,2,30,0,0,32,5767,0.966666667,0.033333333,0,100.0,0.220779221,0.0,14.66666667,1
1,0,4,5828815,0,17,4004,1.0,0.0,0,100.0,0.150793651,0.0,8.142857142999999,1
0,3,149,107721,0,0,-1,0.973154362,0.026845638,0,62.5,0.0,0.25,0.0,0
0,6,102,8725,1,11,8175,0.470588235,0.529411765,0,0.0,0.0,0.537037037,7.0,0
1,0,10,0,0,0,-1,0.3,0.7,0,0.0,0.0,0.571428571,0.0,1
0,1,98,0,1,0,7529,0.081632653,0.918367347,0,100.0,0.0,0.0,0.0,0
1,2,30,0,1,32,5767,0.966666667,0.033333333,0,100.0,0.259259259,0.0,14.66666667,1
0,5,63,0,0,0,7298,0.206349206,0.793650794,0,27.27272727,0.0,0.38,0.0,0
0,5,140,6774,0,10,9368,0.7785714290000001,0.221428571,1,58.13953488,0.076923077,0.193548387,5.538461538,0
0,2,15,1627089,1,7,-1,1.0,0.0,0,0.0,0.0,0.0,5.5,0
0,6,88,944,1,6,7911,0.931818182,0.0681818179999999,0,62.5,0.186046512,0.166666667,3.75,0
0,4,325,158942,0,10,1505,0.775384615,0.224615385,0,38.79310345,0.012048193,0.04109589,5.0,0
1,4,3,1173197,0,8,1761,1.0,0.0,0,0.0,0.064516129,0.0,6.0,1
0,2,211,4297684,1,0,2041,0.933649289,0.0663507109999999,0,69.69696970000001,0.0,0.357142857,0.0,0
0,4,50,0,0,7,3892,1.0,0.0,0,0.0,0.019607843,0.0,5.666666667,1
0,4,125,99386,1,0,8301,0.96,0.04,0,76.19047619,0.0,0.2,0.0,0
1,0,23,0,0,8,2316,1.0,0.0,0,0.0,0.06,0.0,6.333333333,1
1,0,0,0,1,2,2935,0.0,0.0,0,0.0,0.0,0.0,2.0,1
0,2,219,927214,1,0,3932,0.97716895,0.02283105,0,0.0,0.148148148,0.0,0.0,0
0,5,147,26017,1,8,8759,0.884353741,0.115646259,0,92.75362319,0.0,0.0,5.833333333,0
0,6,77,1040,0,9,5647,0.818181818,0.181818182,0,0.0,0.0,0.214285714,6.0,0
1,0,13,0,0,7,1184,0.923076923,0.076923077,0,0.0,0.1,0.0,4.5,1
0,4,59,4672316,0,9,3476,0.915254237,0.084745763,0,50.0,0.0,0.2,5.25,0
1,0,51,5707171,0,17,3993,1.0,0.0,0,100.0,0.095238095,0.0,7.375,1
1,5,21,0,0,0,7296,0.285714286,0.7142857140000001,0,0.0,0.0,0.0,0.0,1
0,4,115,2203390,1,0,6989,0.973913043,0.026086957,0,90.32258065,0.0,0.333333333,0.0,0
0,5,68,5964,1,8,4845,0.647058824,0.352941176,0,20.0,0.0,0.083333333,4.714285714,0
1,0,51,5707171,0,15,3993,1.0,0.0,0,100.0,0.161764706,0.0,8.5,1
1,0,31,0,1,18,-1,0.483870968,0.516129032,1,0.0,0.398773006,0.4375,8.4,1
0,4,95,390047,1,0,1170,0.947368421,0.052631579,0,50.0,0.0,0.2,0.0,0
1,1,36,0,0,32,1237,0.388888889,0.611111111,0,0.0,0.34375,0.0,19.0,1
1,5,21,0,0,0,5627,0.19047619,0.80952381,0,25.0,0.25,0.294117647,0.0,1
1,0,3,9264543,0,10,3767,0.0,1.0,0,0.0,0.0,0.0,5.666666667,1
0,7,105,13,0,21,9316,0.542857143,0.457142857,0,0.0,0.212121212,0.0625,9.25,0
0,4,16,0,1,0,7849,0.375,0.625,0,45.45454545,0.0,0.4,0.0,0
0,2,417,0,1,10,3920,0.3117506,0.6882494,0,0.0,0.0,0.146341463,4.466666667,1
0,8,27,0,0,0,5159,0.481481481,0.518518519,0,8.333333332999999,0.0,0.7142857140000001,0.0,0
0,3,160,74862,1,3,-1,0.875,0.125,0,17.39130435,0.0,0.35,3.0,0
0,7,183,5828226,0,0,5230,0.7322404370000001,0.267759563,1,22.80701754,0.0,0.346938776,0.0,0
1,1,23,0,0,9,3125,1.0,0.0,4,100.0,0.0,0.0,4.875,1
1,4,1,544886,0,4,5026,1.0,0.0,0,0.0,0.0,0.0,4.0,1
1,2,22,0,1,32,2300,0.545454545,0.454545455,2,60.0,0.295918367,0.0,8.142857142999999,1
0,2,35,1671658,0,0,2580,0.971428571,0.028571429,0,0.0,0.0,0.0,0.0,0
0,7,265,7698,0,9,5825,0.939622642,0.060377358,0,76.66666667,0.0,0.0,5.0,0
1,4,26,0,0,40,8019,0.115384615,0.884615385,0,0.0,0.030534351,0.0,7.545454545,1
0,6,279,607,1,10,7839,0.7419354840000001,0.258064516,0,25.0,0.0,0.277777778,8.5,0
1,0,7,0,0,10,2306,0.0,1.0,0,0.0,0.0,0.0,10.0,1
0,6,420,6431,1,9,-1,0.976190476,0.023809524,0,94.68085106,0.133333333,0.1,5.5,0
1,0,13,0,0,40,1500,0.923076923,0.076923077,0,0.0,0.270440252,1.0,11.54545455,1
1,6,43,11657,1,7,2739,0.953488372,0.046511628,0,0.0,0.227272727,0.0,5.5,1
1,2,64,1508317,0,44,134,0.84375,0.15625,0,100.0,0.077669903,0.0,9.857142857,1
1,5,0,0,0,7,7802,0.0,0.0,0,0.0,0.0,0.0,3.75,1
0,7,253,12,0,10,7133,0.920948617,0.079051383,0,63.63636364,0.0,0.45,6.0,0
1,2,91,0,1,11,1690,0.615384615,0.384615385,0,50.0,0.0,0.142857143,7.5,1
1,0,184,0,1,4,1588,0.766304348,0.233695652,0,9.677419355,0.0,0.348837209,3.0,1
1,2,30,0,1,32,5767,0.966666667,0.033333333,0,100.0,0.283950617,0.0,14.66666667,1
0,5,83,2190,0,11,7615,0.6144578310000001,0.385542169,0,71.42857143,0.0,0.03125,5.166666667,0
0,10,27,1,0,9,8348,0.740740741,0.259259259,2,100.0,0.0,0.0,6.5,1
1,10,27,1,0,16,8348,0.37037037,0.62962963,1,0.0,0.0808080809999999,0.0,7.444444444,1
1,4,118,2203390,1,5,6989,0.974576271,0.025423729,0,90.0,0.0,0.333333333,4.0,0
1,5,21,0,0,7,5615,0.19047619,0.80952381,2,25.0,0.033333333,0.176470588,3.5,1
0,5,0,4053,0,9,9327,0.0,0.0,0,0.0,0.081081081,0.0,3.0,0
0,4,54,6010,1,8,3561,0.944444444,0.055555556,0,57.14285714,0.0,0.0,6.2,0
0,5,0,0,0,0,5614,0.0,0.0,0,0.0,0.125,0.0,0.0,1
1,1,0,0,1,8,5408,0.0,0.0,0,0.0,0.038461538,0.0,6.0,1
1,10,1,1,0,10,8346,0.0,1.0,0,0.0,0.0,0.0,6.0,1
0,5,167,24587,0,10,5877,0.988023952,0.011976048,0,100.0,0.027027027,0.0,8.166666667000001,0
1,7,849,827,1,7,2633,0.941107185,0.058892815,0,96.4504284,0.065217391,0.36,4.75,0
0,4,0,1680566,1,13,6512,0.0,0.0,0,0.0,0.0,0.0,9.0,0
1,0,5,0,0,9,-1,0.6,0.4,1,50.0,0.0,0.0,7.333333333,1
1,7,385,12,0,4,7134,0.937662338,0.062337662,0,70.37037037,0.0,0.291666667,3.666666667,0
0,6,212,1294,1,10,9394,0.617924528,0.382075472,0,23.68421053,0.0,0.074074074,6.5,0
1,0,0,0,0,9,5044,0.0,0.0,2,0.0,0.0,0.0,5.333333333,1
1,0,13,0,0,8,2573,1.0,0.0,1,100.0,0.06779661,0.0,4.833333333,1
1,4,0,7048,0,5,1246,0.0,0.0,0,0.0,0.01754386,0.0,4.5,1
0,3,44,8400,0,7,2872,0.772727273,0.227272727,0,100.0,0.0,0.5,5.0,0
1,1,0,0,1,7,4537,0.0,0.0,0,0.0,0.0,0.0,5.5,1
0,7,199,12,0,7,7133,0.964824121,0.035175879,0,74.07407407,0.0,0.428571429,5.5,0
1,5,14,0,0,0,7295,0.071428571,0.928571429,0,14.28571429,0.027777778,0.846153846,0.0,1
1,2,1,8238037,0,5,973,1.0,0.0,1,0.0,0.038461538,0.0,3.5,1
1,5,5,0,0,0,7296,0.0,1.0,0,0.0,0.25,0.0,0.0,1
0,10,25,63,0,14,7491,0.52,0.48,0,0.0,0.0,0.0,14.0,0
0,2,33,479698,1,0,-1,0.212121212,0.787878788,0,10.0,0.0,0.346153846,0.0,0
1,1,11,0,0,32,-1,1.0,0.0,3,0.0,0.304347826,0.0,9.333333333,1
0,5,148,43102,1,22,8442,0.864864865,0.135135135,0,35.71428571,0.058823529,0.05,6.454545455,0
0,3,181,2426481,1,0,2277,0.546961326,0.453038674,0,81.03448276,0.0,0.085365854,0.0,0
0,3,81,0,1,0,1800,0.691358025,0.308641975,0,20.0,0.0,0.12,0.0,0
1,4,98,0,0,13,-1,0.8469387759999999,0.153061224,3,82.60869565,0.008403361,0.4,5.769230769,1
0,4,129,3862928,1,8,3952,0.968992248,0.031007752,1,50.0,0.06779661,0.25,6.5,0
0,4,98,128132,0,8,4855,0.8877551020000001,0.112244898,0,52.94117647,0.0,0.727272727,6.0,0
1,0,45,0,0,110,166,0.5111111110000001,0.488888889,0,10.0,0.271523179,0.636363636,25.8,1
0,4,38,52436,1,8,4093,0.5,0.5,0,53.84615385,0.035714286,0.1578947369999999,4.777777778,0
1,2,41,1080262,0,8,-1,0.804878049,0.195121951,3,93.33333333,0.0,0.0,5.333333333,1
0,2,437,294723,0,0,-1,0.961098398,0.038901602,0,75.0,0.0,0.058823529,0.0,0
0,10,137,8,1,14,8516,0.328467153,0.671532847,0,100.0,0.0,0.0,14.0,0
0,3,218,381695,1,0,7689,0.935779817,0.064220183,0,56.25,0.0,0.071428571,0.0,0
0,5,31,86462,1,4,5913,0.709677419,0.290322581,0,86.95652174,0.0,0.111111111,3.5,0
0,2,139,2346124,0,0,-1,0.769784173,0.230215827,0,81.29032258,0.0,0.875,0.0,0
1,0,0,0,0,2,4141,0.0,0.0,0,0.0,0.0,0.0,2.0,1
0,4,104,0,1,0,4664,0.038461538,0.961538462,0,5.128205128,0.0,0.0,0.0,0
0,0,124,0,1,0,317,0.919354839,0.0806451609999999,0,0.0,0.0,0.1,0.0,1
